Revenue,Margin,Orders,Units,Recency
30839,8246.0,6,28,3164
3250,1336.0,1,2,613
1289,180.0,2,2,650
5644,812.0,1,10,658
769,130.0,1,1,609
7661,0.0,1,1,602
837,31.0,1,2,626
1606,180.0,1,1,606
6638,1830.0,2,7,630
12813,3787.0,1,12,682
2192,762.0,1,1,651
37296,12709.0,4,30,1655
7926,2388.0,2,7,1945
1738,336.0,1,1,618
1587,386.0,1,2,600
1543,309.0,1,1,601
919,0.0,1,1,598
2479,443.0,1,2,613
3656,364.0,1,2,640
1305,0.0,1,1,597
6361,2106.0,2,4,1193
1395,633.0,1,1,640
1612,408.0,1,1,616
3720,1341.0,1,4,1039
546,1.0,1,1,676
3701,473.0,5,5,1176
6064,2095.0,1,3,626
739,61.0,1,1,650
5820,1478.0,3,3,1167
69393,19159.0,3,41,1140
6844,2557.0,3,4,1174
3501,516.0,1,2,636
9383,2337.0,5,7,660
5221,1006.0,2,8,1159
1262,528.0,1,1,1043
4192,1444.0,2,5,1207
1410,80.0,1,1,663
38441,8014.0,5,26,1167
1974,591.0,1,2,656
1640,183.0,1,2,630
1249,411.0,1,1,630
1380,51.0,1,1,638
1206,501.0,1,1,683
889,28.0,1,1,659
872,284.0,1,1,637
52794,11841.0,20,76,4650
1246,0.0,1,1,604
1681,572.0,1,1,628
850,145.0,1,1,677
529,13.0,1,1,637
1464,488.0,1,1,629
1703,415.0,1,1,621
1359,71.0,1,2,635
2683,1030.0,1,2,655
5161,2079.0,1,8,644
2167,329.0,2,2,1188
2108,331.0,2,2,1506
71228,28196.0,2,54,1149
1831,401.0,1,1,642
1144,408.0,1,1,643
1700,453.0,1,1,671
5337,1283.0,3,3,675
7061,3004.0,4,5,1257
13474,4904.0,4,11,1193
2632,1066.0,1,1,663
1702,452.0,1,1,682
5367,1764.0,2,4,1139
299,26.0,1,1,1006
501,31.0,1,1,620
1012,201.0,1,1,620
1470,0.0,1,1,598
2236,276.0,1,1,668
917,102.0,1,2,638
1798,291.0,1,2,630
1250,223.0,1,1,614
1101,362.0,1,1,655
936,237.0,1,1,656
1461,131.0,1,1,679
1345,0.0,1,1,962
1290,351.0,1,1,609
1270,323.0,1,1,682
919,166.0,1,1,670
1128,428.0,1,1,640
1248,299.0,1,1,612
1824,790.0,1,1,648
1507,490.0,1,1,663
1648,328.0,1,2,671
9666,2169.0,3,6,628
16887,5898.0,2,11,1189
61147,8647.0,6,36,1004
7951,514.0,1,6,599
1605,425.0,1,2,629
927,64.0,1,2,667
940,300.0,1,1,634
849,113.0,1,1,628
1700,539.0,1,1,642
1933,435.0,1,2,668
769,60.0,1,1,622
3848,1013.0,3,3,1219
2458,52.0,1,2,607
76820,19980.0,14,66,3995
2809,467.0,1,2,614
4073,243.0,3,5,1157
12572,5328.0,1,10,676
1498,104.0,1,1,615
2650,796.0,1,2,662
695,55.0,1,1,644
727,155.0,1,1,670
726,220.0,1,1,613
18686,7006.0,7,11,1194
1863,722.0,1,1,640
918,96.0,1,1,1034
965,274.0,1,1,644
14231,6633.0,1,8,640
1646,552.0,1,1,658
