Company Name,Revenue,Margin,Orders,Units,Recency
Customer10433,80791,24745,11,75,1192
Customer10434,1209,9,1,2,610
Customer10435,1421,428,1,1,617
Customer10436,1527,465,1,2,663
Customer10437,1108,232,1,1,666
Customer10438,1469,52,1,1,614
Customer10439,2266,268,1,1,620
Customer1044,3305,635,1,4,997
Customer10440,3044,731,3,3,1222
Customer10441,541,158,1,1,602
Customer10442,421,16,1,1,665
Customer10443,29920,4145,9,43,1183
Customer10444,1630,292,1,1,650
Customer10445,1385,46,1,1,616
Customer10446,1711,618,1,2,626
Customer10447,3854,1106,3,4,1144
Customer10448,2376,713,1,2,676
Customer10449,1382,494,1,1,675
Customer1045,1043,256,1,1,987
Customer10450,1097,316,1,1,683
Customer10451,6003,669,3,5,1163
Customer10452,3222,793,1,2,616
Customer10453,5119,198,3,6,1166
Customer10454,1848,112,2,3,1154
Customer10455,1431,667,1,1,685
Customer10456,3617,841,1,7,634
Customer10457,1740,389,1,2,623
Customer10458,1174,265,1,1,676
Customer10459,3242,97,2,6,658
Customer1046,1033,248,1,1,997
Customer10460,11214,3586,5,9,1207
Customer10461,742,176,1,1,684
Customer10462,786,91,1,1,601
Customer10463,8178,1420,4,7,1774
Customer10464,4079,697,2,3,1179
Customer10465,1517,150,2,2,660
Customer10466,8545,3558,1,6,657
Customer10467,36773,2550,2,64,1211
Customer10468,2009,0,1,4,599
Customer10469,1611,362,1,1,682
Customer1047,2623,1076,1,2,987
Customer10470,1824,139,1,2,672
Customer10471,3918,1249,1,2,684
Customer10472,746,136,1,1,682
Customer10473,2531,709,1,1,654
Customer10474,3396,96,1,6,600
Customer10475,6444,1682,2,5,1168
Customer10476,8717,3324,3,4,1197
Customer10477,25382,3623,4,26,1144
Customer10478,3625,1670,1,1,652
Customer10479,1554,243,1,1,600
Customer1048,24149,5053,9,21,4726
Customer10480,2745,61,3,4,627
Customer10481,6491,1937,5,5,1191
Customer10482,2421,389,2,3,1216
Customer10483,3483,1644,2,2,1156
Customer10484,80486,17116,14,95,1178
Customer10485,6209,2623,2,4,1170
Customer10486,1434,328,1,2,619
Customer10487,2218,817,1,1,612
Customer10488,6453,2396,2,6,1171
Customer10489,766,64,1,1,607
Customer1049,527,120,1,1,999
Customer10490,1011,189,1,2,651
Customer10491,574,80,1,1,651
Customer10492,7817,3024,3,6,646
Customer10493,1929,679,1,1,650
Customer10494,1078,330,1,1,601
Customer10495,2856,1050,2,2,1214
Customer10496,8494,2952,2,4,618
Customer10497,7737,2473,2,8,1165
Customer10498,2442,332,1,2,607
Customer10499,736,103,1,1,600
Customer105,162553,43355,19,174,4748
Customer1050,4272,1540,3,4,2783
Customer10500,1668,631,2,2,1166
Customer10501,545,23,1,1,617
Customer10502,1272,265,1,2,658
Customer10503,5491,1079,2,4,668
Customer10504,7404,2271,1,9,612
Customer10505,5801,3218,2,4,1234
Customer10506,6434,475,2,8,1170
Customer10507,3413,531,1,1,624
